X,Y,Computed_Area,Computed Perimeter,Border Index,Minimum Ellipse Ratio,Minimum Ellipse Rotation,Minimum Enclosing Circle,Compactness,Edge Count,homogeneity,contrast,dissimilarity,entropy,mean,variance,std.Dev
145.9,215.0,60.0,44.0,484.0,0.586799228402,45.2650527954,6.22276878357,0.389453649521,38.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
166.0,163.1,185.0,92.0,1932.0,0.409251597785,75.7885665894,14.3647146225,0.274666666985,62.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
160.7,20.8,51.0,42.0,441.0,0.606141006502,52.448764801,6.22276878357,0.363313466311,32.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
166.4,231.6,79.0,50.0,625.0,0.500018169923,50.9936447144,7.60388374329,0.397097319365,42.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
170.4,57.7,44.0,34.0,289.0,0.57549912626,21.4248561859,5.54671955109,0.478304803371,24.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
173.9,176.0,73.0,50.0,625.0,0.482676205815,51.4023170471,7.84424638748,0.366938024759,41.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
176.3,43.8,89.0,52.0,676.0,0.352635526008,39.7272071838,9.11128044128,0.413612037897,36.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
181.7,244.3,137.0,66.0,1023.0,0.625705984625,81.3764343262,10.118144989,0.39522331953,46.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
194.0,26.5,59.0,44.0,484.0,0.583706634262,64.7878952026,6.51429224014,0.382962763309,35.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
194.9,173.2,101.0,52.0,676.0,0.933484908718,132.182723999,6.95569753647,0.469379991293,42.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
204.9,209.9,176.0,102.0,2346.0,0.553475345438,33.5850563049,14.5390615463,0.212579905987,69.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
215.6,112.9,188.0,76.0,1368.0,0.680530709863,160.916671753,10.9701662064,0.409016251564,50.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
216.9,244.4,44.0,36.0,324.0,0.794523391074,66.8612747192,5.00489473343,0.426636070013,29.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
224.6,88.8,21.0,26.0,169.0,0.418738051038,93.9709243774,4.74806547165,0.390375435352,15.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
231.4,225.1,117.0,60.0,900.0,0.711157106399,128.540740967,8.40983104706,0.408407062292,44.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
242.6,118.8,136.0,60.0,870.0,0.853464924193,152.280578613,8.66452312469,0.474729567766,42.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
242.8,90.2,15.0,24.0,144.0,0.401267774928,51.8613395691,4.03887033463,0.327249228954,19.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
249.1,44.1,85.0,48.0,576.0,0.639948379242,45.0198745728,6.90945005417,0.463603079319,40.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
255.0,114.7,45.0,34.0,289.0,0.832850111711,14.3333787918,5.2519903183,0.489175349474,25.0,0.68537,1.078753,0.703202,3.083411,5.793765,10.249486,3.201482
4.0,273.9,42.0,40.0,400.0,0.253191636997,43.8569984436,7.84424638748,0.329867243767,26.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
5.2,453.8,83.0,52.0,676.0,0.367007473644,47.9707794189,8.99408817291,0.385728091002,35.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
2.4,506.4,15.0,22.0,121.0,0.613194432792,94.6047363281,3.64159989357,0.389453649521,15.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
12.5,296.2,154.0,60.0,900.0,0.794065160912,76.9699935913,8.99408817291,0.537561416626,44.0,0.679744,1.130875,0.720963,3.151935,5.610565,9.855687,3.139377
