row1, row2, col1, col2, homogeneity, contrast, dissimilarity, entropy, mean
1280,1536,2048,2304,0.671029,1.171541,0.742613,3.165979,0.015625
1280,1536,2304,2560,0.965762,0.207305,0.087503,0.672904,0.015625
1280,1536,2560,2816,1,0,0,0,0.015625
1280,1536,2816,3072,1,0,0,0,0.015625
1280,1536,3072,3328,1,0,0,0,0.015625
1280,1536,3328,3584,1,0,0,0,0.015625
1280,1536,3584,3840,1,0,0,0,0.015625
1280,1536,3840,4096,1,0,0,0,0.015625
1536,1792,1,256,0.671974,1.242496,0.752132,3.19849,0.015625
1536,1792,256,512,0.68096,1.22065,0.733661,3.226723,0.015625
1536,1792,512,768,0.684263,1.133542,0.714099,3.179905,0.015625
1536,1792,768,1024,0.677427,1.121702,0.723599,3.154087,0.015625
1536,1792,1024,1280,0.659198,1.357901,0.791905,3.267001,0.015625
1536,1792,1280,1536,0.63041,1.752052,0.903286,3.327804,0.015625
1536,1792,1536,1792,0.638983,1.494224,0.848371,3.279294,0.015625
1536,1792,1792,2048,0.643143,1.340877,0.816832,3.209025,0.015625
1536,1792,2048,2304,0.680683,1.199371,0.730621,3.152756,0.015625
1536,1792,2304,2560,0.96331,0.228736,0.094312,0.67972,0.015625
1536,1792,2560,2816,1,0,0,0,0.015625
1536,1792,2816,3072,1,0,0,0,0.015625
1536,1792,3072,3328,1,0,0,0,0.015625
1536,1792,3328,3584,1,0,0,0,0.015625
1536,1792,3584,3840,1,0,0,0,0.015625
1536,1792,3840,4096,1,0,0,0,0.015625
1792,2048,1,256,0.909952,0.328923,0.204593,1.433718,0.015625
1792,2048,256,512,0.917615,0.314218,0.189218,1.422904,0.015625
1792,2048,512,768,0.921504,0.286859,0.178213,1.421972,0.015625
1792,2048,768,1024,0.914853,0.303092,0.192136,1.431121,0.015625
1792,2048,1024,1280,0.916955,0.31516,0.190403,1.422522,0.015625
1792,2048,1280,1536,0.907446,0.377447,0.216424,1.447072,0.015625
1792,2048,1536,1792,0.899479,0.440357,0.24009,1.476015,0.015625
1792,2048,1792,2048,0.906012,0.386232,0.220498,1.451475,0.015625
1792,2048,2048,2304,0.912949,0.328566,0.199401,1.432662,0.015625
1792,2048,2304,2560,0.991082,0.048638,0.022282,0.219917,0.015625
1792,2048,2560,2816,1,0,0,0,0.015625
1792,2048,2816,3072,1,0,0,0,0.015625
1792,2048,3072,3328,1,0,0,0,0.015625
1792,2048,3328,3584,1,0,0,0,0.015625
1792,2048,3584,3840,1,0,0,0,0.015625
1792,2048,3840,4096,1,0,0,0,0.015625
2048,2304,1,256,1,0,0,0,0.015625
2048,2304,256,512,1,0,0,0,0.015625
2048,2304,512,768,1,0,0,0,0.015625
2048,2304,768,1024,1,0,0,0,0.015625
2048,2304,1024,1280,1,0,0,0,0.015625
2048,2304,1280,1536,1,0,0,0,0.015625
2048,2304,1536,1792,1,0,0,0,0.015625
2048,2304,1792,2048,1,0,0,0,0.015625
2048,2304,2048,2304,1,0,0,0,0.015625
2048,2304,2304,2560,1,0,0,0,0.015625
2048,2304,2560,2816,1,0,0,0,0.015625
2048,2304,2816,3072,1,0,0,0,0.015625
2048,2304,3072,3328,1,0,0,0,0.015625
2048,2304,3328,3584,1,0,0,0,0.015625
2048,2304,3584,3840,1,0,0,0,0.015625
2048,2304,3840,4096,1,0,0,0,0.015625
2304,2560,1,256,1,0,0,0,0.015625
2304,2560,256,512,1,0,0,0,0.015625
2304,2560,512,768,1,0,0,0,0.015625
2304,2560,768,1024,1,0,0,0,0.015625
2304,2560,1024,1280,1,0,0,0,0.015625
2304,2560,1280,1536,1,0,0,0,0.015625
2304,2560,1536,1792,1,0,0,0,0.015625
2304,2560,1792,2048,1,0,0,0,0.015625
2304,2560,2048,2304,1,0,0,0,0.015625
2304,2560,2304,2560,1,0,0,0,0.015625
2304,2560,2560,2816,1,0,0,0,0.015625
2304,2560,2816,3072,1,0,0,0,0.015625
2304,2560,3072,3328,1,0,0,0,0.015625
2304,2560,3328,3584,1,0,0,0,0.015625
2304,2560,3584,3840,1,0,0,0,0.015625
2304,2560,3840,4096,1,0,0,0,0.015625
2560,2816,1,256,1,0,0,0,0.015625
2560,2816,256,512,1,0,0,0,0.015625
2560,2816,512,768,1,0,0,0,0.015625
2560,2816,768,1024,1,0,0,0,0.015625
2560,2816,1024,1280,1,0,0,0,0.015625
2560,2816,1280,1536,1,0,0,0,0.015625
2560,2816,1536,1792,1,0,0,0,0.015625
2560,2816,1792,2048,1,0,0,0,0.015625
2560,2816,2048,2304,1,0,0,0,0.015625
2560,2816,2304,2560,1,0,0,0,0.015625
2560,2816,2560,2816,1,0,0,0,0.015625
2560,2816,2816,3072,1,0,0,0,0.015625
2560,2816,3072,3328,1,0,0,0,0.015625
2560,2816,3328,3584,1,0,0,0,0.015625
2560,2816,3584,3840,1,0,0,0,0.015625
2560,2816,3840,4096,1,0,0,0,0.015625
2816,3072,1,256,1,0,0,0,0.015625
