X,Y
206.3,460.7
207,1757.4
208.9,1578.3
213.6,585.5
211.9,1360.7
211,1690.5
215.6,112.9
214,353.8
213.6,799.1
219,1495.2
215.5,1534.1
216.9,244.4
223.7,315
218.8,878.8
220,391.5
220.3,804.7
224.8,1278.5
222,277.3
221.9,710.9
221.3,598.9
224.6,956.9
222.4,1685.1
222,776.1
229.8,984.9
228.3,1295.1
224.6,88.8
233.5,1065.8
224,1465
227.5,1199.1
229.7,1620.2
224.6,1816.9
228.4,446.3
227.5,1556.6
229.9,473.1
229.7,1418.4
228.2,1346.1
231.4,225.1
232.2,800.6
233.8,1130.3
244.7,259.4
238.3,1432.9
233.3,1454.5
228.7,1774.9
232.5,338.6
234.3,375
235.7,1321.5
235.2,1086.4
239,482.2
233.8,490
237.6,1514.4
242,1793.6
240.7,1736.8
241.4,533.5
239.7,778.5
236.1,962.8
242.6,118.8
240.6,506.1
241.6,1242.4
239.5,1344.2
241.3,1638.1
242.4,455.7
242.4,873.9
244.7,1105.9
242.8,90.2
243.3,1826
249.7,1489.5
247.6,374.3
243.9,583.4
246.7,839.6
249.1,44.1
251.3,1146.8
252.7,1181.8
249.3,1696.1
250.1,384.7
254.7,985
254.2,1381.7
256.8,1771.8
254,288.7
251.6,1576.2
257.2,309.1
252.3,350
257,892.3
257.7,1090.9
254.5,451.9
253.5,1402.1
253.4,1819.4
255,114.7
259,1310.6
264.3,1470.2
258.5,1499.9
259.7,1636.9
258.6,24.4
259.2,588.1
257.4,713.7
276.9,155.6
265.2,204.7
261.9,414.6
262.3,358.8
263.7,472.9
262.9,1067.3
264.2,1661.9
262.6,1726.7
265.4,1367.2
268.3,1240.9
266.9,999.9
267.5,1319.4
271.3,30.6
271.2,413.6
265.4,1081.3
265.7,1192.3
272.1,1684
269,275.6
271.4,1175.5
268.5,1437
267.3,251.7
271.3,1591.8
270.9,954.8
270.5,1210.4
274.7,1277
273.9,1736.8
274.9,1415
270.1,1552.8
275.3,936.7
274.7,856.9
277.4,1497.9
272.7,820.3
276.1,641.3
279.1,990.3
278.6,1529.9
278.6,1562.3
276.8,1795.1
279.2,1643.5
278.3,667.5
280.8,842.5
280.4,122.2
280.4,577.6
282.1,879.1
284.9,1098.6
287.3,362
283.5,309.6
282.8,1217.2
290,443.2
286.8,1467
299.1,1668.9
291,1813.2
289.9,1622.2
288.6,248.3
291.7,857.6
300.3,1162.6
292.9,1522.5
298.4,457.2
291.6,836.4
296.1,1106.4
294.5,1442.2
296.7,300.6
293.2,1191.5
294.4,1335.5
296.8,1311.7
296.4,1035.2
297,1251.1
297.3,1049
296,1374.8
296.5,1690.6
295.5,1643.7
299.2,981.5
300.2,1069.9
303.5,1632.5
301.4,1721.5
306.8,380.4
300.4,427.8
302.8,937.6
306.4,1426.9
306.6,797.8
303.7,1536.8
308.4,1754.8
306.4,1029.6
309.1,1268.6
305.9,1613.9
311.6,1573.1
311.2,2.2
313.4,576.8
311,1085.6
314.8,1441.7
315,85.5
315.6,336.9
314.9,1170.8
318.4,1646.7
315.8,1798.8
313.5,1502.1
315.7,1141.3
319.1,1203.5
313.8,1724.7
315,236.8
313.6,718.6
316.2,843.6
318.5,1334.5
318.1,766.6
323.1,1035.6
317.5,869.1
317.9,1471.2
320.5,1531.2
318.7,1597.1
326.7,294.9
318.5,386.4
320.5,1318.3
325.9,546.6
327.3,1361.4
333.9,223.8
327.8,1766.6
329.6,1229
333.2,310.3
331.7,1019.8
333.4,1057.9
329.5,1074.6
329.6,1391.2
332.8,38.3
330.3,363.6
330.5,155.4
333.9,982
334.1,1454.9
338.1,1800.9
332.2,382.8
338,729.8
335.2,1613.8
338.2,950.9
335.3,1197.6
337.9,774.1
338.2,762.4
337,1164.3
351.9,184.9
342.3,1329.7
344.6,1374.3
341.8,64.2
346,1691
344,171.1
349.7,1297
346,437.5
353.3,320.1
348.1,1712.1
347,90.5
346.2,364.1
348.9,1054.5
350.4,1107.8
346,1588
351.2,1019.7
350.4,866.4
353.1,343.1
350.9,1358.9
352.4,649
354.2,245.5
355,820.6
352.9,977.3
355.4,134.1
361.3,413.6
358.6,1066.4
357.9,1309.6
359.5,537.7
360,904.3
367,368.5
363.4,974.9
359.7,1602.5
358.5,429.3
360.3,1833
365.8,105.5
362.6,123.9
361.2,780.3
362.4,811.5
362.1,1453.2
364.7,1752.5
368.4,1255.9
365.6,1089.7
366.6,1505.5
364.3,1568.9
365.5,1554.7
365.9,1022.4
371.5,1407.1
367.4,233.4
366,270.7
370.9,1815.6
368.9,72.1
371.5,706.8
368.5,825
371.7,890.9
371.2,330.8
372,134.7
374.5,839.3
372.8,784.5
376.6,1326.6
383.7,1621.7
382.9,29.7
375.6,757.4
378.5,981.1
378.7,1051.8
383.5,482.7
384.8,1109.6
380.9,1364.4
385.9,1426.1
379.4,1268.2
380.8,1733.9
384.5,408.8
385.1,1675.3
384.3,1842.4
381.6,1478.6
382.9,282.4
382.7,1583.5
387.2,225.3
384.4,316.1
389.5,144.8
389.1,166
392.8,1395
388.6,304.1
393,459.6
388.2,1078.9
390.9,1344.6
398,1556.8
391.9,58.9
390.8,587.5
390.2,1457.7
400.4,777
390.8,1027.1
399.6,46.5
394.6,860
396.8,1372.7
396.7,1356.7
393.8,1715.3
